ccode,scode,country,uscrireg,region,source08,idp08,host08,source07,idp07,host07,source06,idp06,host06,source05,idp05,host05,source04,idp04,host04,source03,idp03,host03,source02,idp02,host02,source01,idp01,host01,source00,idp00,host00,source99,idp99,host99,source98,idp98,host98,source97,idp97,host97,source96,idp96,host96,source95,idp95,host95,source94,idp94,host94,source93,idp93,host93,source92,idp92,host92,source91,idp91,host91,source90,idp90,host90,source89,idp89,host89,source88,idp88,host88,source87,idp87,host87,source86,idp86,host86,source85,idp85,host85,source84,idp84,host84,source83,idp83,host83,source82,idp82,host82,source81,idp81,host81,source80,idp80,host80,source79,idp79,host79,source78,idp78,host78,source77,idp77,host77,source76,idp76,host76,source75,idp75,host75,source74,idp74,host74,source73,idp73,host73,source72,idp72,host72,source71,idp71,host71,source70,idp70,host70,source69,idp69,host69,source68,idp68,host68,source67,idp67,host67,source66,idp66,host66,source65,idp65,host65,source64,idp64,host64
315,CZE,Czechoslovakia,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,,999,0,0,999,0,0,999,0,0,,,,999,0,0,,,,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0
992,EEU,Eastern Europe,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,,,,35,0,0,27,0,0,27,0,0,,,,434,0,0,,,,446,0,0,554,0,0,579,0,0,534,0,0,549,0,0,498,0,0,161,0,0,146,0,0,144,0,0
998,FSU,Former USSR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,323,,,112,,,97,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,FYG,Former Yugoslavia,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,14,,,7,,,69,,,53,,,1320,,,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,GDR,Germany East,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,,,999,0,0,999,0,0,999,0,0,,,,999,0,0,,,,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0,999,0,0
993,LAM,Latin America,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,0,0,1475,0,0,1987,0,0,1510,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,,13,0,125,,,,100,0,212,100,0,208,0,0,113,0,0,158,0,0,170,0,0,165,0,0,130,0,0,130,0,0,0
,,Other Europe,,,,,11,,,13,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Africa,,,,,2,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Americas,,,,,9,,,9,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,9,,,9,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Middle East,,,,,2,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,GFR,Germany West,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,256,0,0,193,0,0,121,0,0,103,0,0,57,0,0,70,0,0,0,0,0,0,0,0,0,0,0,94,0,0,70,0,0,80,,,,0,0,60,0,0,52,0,0,52,,,,0,0,121,,,,0,0,127,0,0,125,0,0,110,0,0,115,0,0,182,0,0,180,0,0,18,0,0,15,0,0,0
678,YAR,Yemen Arab Republic,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,0,0,1,0,0,57,0,0,62,0,0,61,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,YPR,Yemen PDR,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,55,0,0,55,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0,0,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,ALG,Algeria,1,5,0,0,96,0,0,96,0,0,95,0,500,95,0,500,102,170,150,0,10,150,85,10,150,85,50,150,85,50,150,84,40,150,84,2,999,104,0,10,114,0,0,120,0,0,130,0,0,121,0,0,210,0,0,204,0,0,189,0,0,170,0,0,167,0,0,167,0,0,167,0,0,167,0,0,167,0,0,54,0,0,65,0,0,52,0,0,52,,,,0,0,51,0,0,0,25,0,20,,,,0,0,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,999,0,0,999,0,0,999,0,0,0,0,150
540,ANG,Angola,1,6,152,20,16,169,20,15,195,62,16,214,0,15,223,0,15,13,1000,323,410,2750,12,445,2500,12,400,2450,12,340,1750,15,302,1200,10,223,1200,9,220,1200,9,313,1500,11,344,2000,11,335,2000,11,404,900,9,443,827,10,436,704,12,438,908,26,396,975,96,404,3500,92,376,480,92,358,500,92,301,375,96,237,70,93,999,50,73,18,0,73,178,0,61,,,,1505,350,225,635,350,0,631,350,0,,,,427,0,5,,,,430,0,5,415,0,5,567,0,4,487,0,6,414,0,6,504,0,4,406,0,0,256,0,0,150,0,0
