year,state,status,adunit,murder,dacoity,riots,arson,area,pop,civpol,armpol,totpol
1953,IN,2,India,9802,5579,20529,,,,,,
1954,,1,Hyderabad,644,331,744,,,,,,
1954,,1,Madyha Bharat,406,202,267,,,,,,
1954,,1,Pepsu,168,5,33,,,,,,
1954,,1,Saurashtra,155,36,237,,,,,,
1954,,1,Travancore Cochin,165,11,556,,,,,,
1954,,1,Ajmer,16,1,7,,,,,,
1954,,1,Bhopal,26,8,39,,,,,,
1954,,1,Coorg,7,0,0,,,,,,
1954,,1,Kutch,12,3,45,,,,,,
1954,,1,Vindhya Pradesh,86,82,88,,,,,,
1954,AN,1,Andaman/Nicobar,4,1,1,,,,,,
1954,AP,1,Andhra Pradesh,617,65,1682,,,,,,
1954,AS,1,Assam,271,309,1015,,,,,,
1954,BH,1,Bihar,867,1562,3583,,,,,,
1954,BO,1,Bombay,1293,535,1310,,,,,,
1954,DE,1,Delhi,73,1,83,,,,,,
1954,HP,1,Himachal Pradesh,10,2,35,,,,,,
1954,JK,1,Jammu and Kashmir,55,71,170,,,,,,
1954,KR,1,Mysore,170,15,250,,,,,,
1954,MD,1,Madras,916,154,2090,,,,,,
1954,MN,1,Manipur,8,5,41,,,,,,
1954,MP,1,Madhya Pradesh,679,82,1155,,,,,,
1954,OR,1,Orissa,279,86,1191,,,,,,
1954,PJ,1,Punjab,470,18,243,,,,,,
1954,RJ,1,Rajasthan,349,97,884,,,,,,
1954,TR,1,Tripura,8,66,50,,,,,,
1954,UP,1,Uttar Pradesh,1607,918,3110,,,,,,
1954,WB,1,West Bengal,404,729,3868,,,,,,
1954,IN,2,India,9765,5395,22777,,,,,,
1955,,1,Hyderabad,486,268,808,,,,,,
1955,,1,Madyha Bharat,435,293,294,,,,,,
1955,,1,Pepsu,140,8,30,,,,,,
1955,,1,Saurashtra,163,22,271,,,,,,
1955,,1,Travancore Cochin,79,12,315,,,,,,
1955,,1,Ajmer,14,2,11,,,,,,
1955,,1,Bhopal,32,8,45,,,,,,
1955,,1,Coorg,6,1,3,,,,,,
1955,,1,Kutch,22,0,47,,,,,,
1955,,1,Vindhya Pradesh,90,100,79,,,,,,
1955,AN,1,Andaman/Nicobar,5,0,0,,,,,,
1955,AP,1,Andhra Pradesh,569,36,1761,,,,,,
1955,AS,1,Assam,341,244,1418,,,,,,
1955,BH,1,Bihar,841,1412,4078,,,,,,
1955,BO,1,Bombay,1490,466,1105,,,,,,
1955,DE,1,Delhi,42,1,73,,,,,,
1955,HP,1,Himachal Pradesh,15,3,29,,,,,,
1955,JK,1,Jammu and Kashmir,58,55,231,,,,,,
1955,KR,1,Mysore,185,20,289,,,,,,
1955,MD,1,Madras,927,104,2293,,,,,,
1955,MN,1,Manipur,7,4,45,,,,,,
1955,MP,1,Madhya Pradesh,702,85,1223,,,,,,
1955,OR,1,Orissa,255,81,1031,,,,,,
1955,PJ,1,Punjab,477,16,267,,,,,,
1955,RJ,1,Rajasthan,387,96,992,,,,,,
1955,TR,1,Tripura,13,23,73,,,,,,
1955,UP,1,Uttar Pradesh,1468,855,2795,,,,,,
1955,WB,1,West Bengal,451,564,4003,,,,,,
1955,IN,2,India,9700,4779,23609,,,,,,
1956,AN,1,Andaman/Nicobar,5,0,0,,,,,,
1956,AP,1,Andhra Pradesh,770,151,1798,,,,,,
1956,AS,1,Assam,309,291,1092,,,,,,
1956,BH,1,Bihar,830,1251,3768,,,,,,
1956,BO,1,Bombay,2016,1061,3407,,,,,,
1956,DE,1,Delhi,56,3,79,,,,,,
1956,HP,1,Himachal Pradesh,11,5,30,,,,,,
1956,JK,1,Jammu and Kashmir,48,53,257,,,,,,
1956,KE,1,Kerala,168,17,474,,,,,,
1956,KR,1,Mysore,569,92,726,,,,,,
1956,MD,1,Madras,797,94,2092,,,,,,
1956,MN,1,Manipur,11,5,28,,,,,,
1956,MP,1,Madhya Pradesh,1130,621,1385,,,,,,
1956,OR,1,Orissa,268,58,896,,,,,,
1956,PJ,1,Punjab,589,16,269,,,,,,
