year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
2009,hokkaido,9,1,"HATOYAMA, YUKIO",DPJ,3,8,1,6604,62,4,1,201461,413536,7407,16865736
2009,shizuoka,6,1,"WATANABE, SHU",DPJ,3,5,1,6605,47,3,1,197688,450065,6704,7058573
2005,kanagawa,11,1,"KOIZUMI, JUNICHIRO",LDP,1,12,1,7302,63,5,1,197037,397948,6805,12396032
2012,kanagawa,15,1,"KONO, TARO",LDP,1,6,1,80,49,2,1,192604,456520,5609,1500237
2009,saitama,6,1,"OSHIMA, ATSUHI",DPJ,3,4,1,6706,52,3,1,186993,423131,6706,7297826
2005,kanagawa,15,1,"KONO, TARO",LDP,1,4,1,6309,42,3,1,186770,446440,6607,14898090
2009,hokkaido,3,1,"ARAI, SATOSHI",DPJ,3,4,1,6009,63,3,1,186081,439446,7009,11957683
2012,kanagawa,11,1,"KOIZUMI, SHINJIRO",LDP,1,2,1,7909,31,5,1,184360,389013,6102,9668251
2009,shizuoka,5,1,"HOSONO, GOSHI",DPJ,3,4,1,59,38,3,1,184328,456360,6906,3123698
2009,hokkaido,1,1,"YOKOMICHI, TAKAHIRO",DPJ,3,9,1,5403,68,4,1,183216,475525,7201,14274990
2009,hokkaido,5,2,"KOBAYASHI, CHIYOMI",DPJ,3,2,1,5308,40,3,1,182952,452618,7603,5938609
1996,toyama,3,1,"WATANUKI, TAMISUKE",LDP,1,10,1,7909,69,3,1,182185,385638,6208,9450426
2009,aichi,7,0,"YAMAO, SHIORI",DPJ,3,1,1,6101,35,3,1,182028,418255,7207,7999114
2003,aichi,11,0,"FURUMOTO, SHINICHIRO",DPJ,3,0,1,8906,38,2,1,181747,338755,6703,12065049
2009,aichi,12,2,"NAKANE, YASUHIRO",DPJ,3,2,1,5.53614E+14,47,4,1,180972,0,0,0
2009,aichi,9,1,"OKAMOTO, MITSUNORI",DPJ,3,3,1,6204,38,3,1,180609,421977,7003,8518989
2009,aichi,11,1,"FURUMOTO, SHINICHIRO",DPJ,3,2,1,64,44,3,1,177350,362700,7801,12562948
2009,kyoto,6,1,"YAMANOI, KAZUNORI",DPJ,3,4,1,5704,47,4,1,176022,447950,6907,9986446
2009,hyogo,7,0,"ISHII, TOSHIRO",DPJ,3,1,1,5806,38,4,1,176017,454288,6706,5160184
2009,hokkaido,6,0,"SASAKI, TAKAHIRO",DPJ,3,2,1,5504,60,4,1,175879,440855,73,7359921
2003,kanagawa,11,1,"KOIZUMI, JUNICHIRO",LDP,1,11,1,7404,61,3,1,174374,398912,5909,13407764
2009,tokyo,6,1,"KOMIYAMA, YOKO",DPJ,3,4,1,5604,60,4,1,174367,481818,6507,5122549
2005,kanagawa,13,1,"AMARI, AKIRA",LDP,1,7,1,6101,56,3,1,174361,443977,6508,11066298
2005,hokkaido,5,1,"MACHIMURA, NOBUTAKA",LDP,1,8,1,5402,60,3,1,173947,444986,7302,15350358
2009,mie,3,1,"OKADA, KATSUYA",DPJ,3,7,1,7202,56,3,1,173931,334471,7301,9993208
2009,hyogo,6,1,"ICHIMURA, KOICHIRO",DPJ,3,3,1,5506,45,4,1,172889,471847,6701,6213859
2009,aichi,8,1,"BANNO, YUTAKA",DPJ,3,3,1,6002,48,3,1,172839,417869,7002,7285988
2009,aichi,10,0,"SUGIMOTO, KAZUMI",DPJ,3,1,1,6007,48,3,1,172401,417772,6906,4343754
2005,fukushima,1,0,"KAMEOKA, TAKETAMI",LDP,1,1,1,5608,50,3,1,171507,431046,7104,20510165
2009,hokkaido,8,1,"OOSAKA, SEIJI",DPJ,3,2,1,6206,50,4,1,171114,403646,6903,10098483
2009,saitama,11,2,"KOIZUMI, RYUJI",independent,99,3,1,7007,56,3,1,171000,362044,6908,6929466
2009,tokyo,19,1,"SUEMATSU, YOSHINORI",DPJ,3,5,1,55,52,5,1,170437,462375,6801,1946551
